locusName	rice.defline	Pfam	Panther	KOG	KO	Best.hit.arabi.name	arabi.symbol	Best.hit.rice.name	rice.symbol
Sobic.002G424200	SNF1-related protein kinase regulatory subunit beta-1, putative, expressed	PF04739,PF16561	PTHR10343,PTHR10343:SF54	KOG1616	K07199	AT5G21170.1	AKINBETA1	LOC_Os03g20340.1	NA
Sobic.002G424350	serine hydrolase domain containing protein, expressed	PF13499,PF03959	PTHR22778,PTHR22778:SF22	KOG0027	K02183	AT2G27030.3	ACAM-2,CAM5	LOC_Os07g48770.1	NA
Sobic.002G424500	CAMK_KIN1/SNF1/Nim1_like.2 - CAMK includes calcium/calmodulin depedent protein kinases, expressed	PF03822,PF00069	PTHR24343,PTHR24343:SF185	KOG0583		AT2G26980.4	CIPK3,SnRK3.17	LOC_Os03g20380.1	NA
Sobic.002G424550									NA
Sobic.002G424600	alpha-N-arabinofuranosidase A, putative, expressed	PF06964	PTHR31776,PTHR31776:SF5		K01209	AT3G10740.1	ARAF,ARAF1,ASD1,ATASD1	LOC_Os03g20420.1	NA
Sobic.002G424700	ATPOT1, putative, expressed	PF02765	PTHR14513	KOG4757		AT5G06310.1	AtPOT1b	LOC_Os04g39280.1	NA
Sobic.002G424800	tyrosine protein kinase domain containing protein, putative, expressed	PF07714	PTHR27001,PTHR27001:SF99	KOG1187		AT1G14370.1	APK2A,PBL2	LOC_Os07g48730.1	NA
Sobic.002G424900	MAG2, putative, expressed	PF04437	PTHR13520,PTHR13520:SF0	KOG2218		AT1G08400.1		LOC_Os07g48720.1	NA
Sobic.002G425000	VQ domain containing protein, putative, expressed	PF05678	PTHR33179,PTHR33179:SF9			AT2G41010.1	ATCAMBP25,CAMBP25	LOC_Os07g48710.1	NA
Sobic.002G425101	DUF630/DUF632 domains containing protein, putative, expressed	PF04783,PF04782	PTHR21450,PTHR21450:SF6			AT2G27090.1		LOC_Os07g48690.1	NA
Sobic.002G425200	expressed protein		PTHR13140,PTHR13140:SF164	KOG4593		AT2G39300.1		LOC_Os07g48700.1	NA
Sobic.002G425300	zinc finger, C3HC4 type domain containing protein, expressed	PF13639	PTHR14155,PTHR14155:SF175		K16282	AT1G15100.1	RHA2A	LOC_Os07g48680.1	NA
Sobic.002G425400									NA
Sobic.002G425500	ATPOT1, putative, expressed	PF02765	PTHR14513	KOG4757		AT5G06310.1	AtPOT1b	LOC_Os04g39280.1	NA
Sobic.002G425600	bZIP transcription factor domain containing protein, expressed	PF00170	PTHR22952,PTHR22952:SF211		K14432	AT2G41070.3	ATBZIP12,DPBF4,EEL	LOC_Os07g48660.1	NA
Sobic.002G425700	ribonucleases P/MRP protein subunit POP1 containing protein, expressed	PF06978,PF08170	PTHR22731,PTHR22731:SF3		K01164	AT2G47300.2		LOC_Os11g45250.1	NA
Sobic.002G425800	protein transport protein, putative, expressed	PF04051,PF04810,PF04811	PTHR11141,PTHR11141:SF9			AT2G21630.1		LOC_Os08g36994.1	NA
Sobic.002G425900	expressed protein		PTHR33124,PTHR33124:SF12			AT1G09250.1		LOC_Os03g19780.1	NA
Sobic.002G426000									NA
Sobic.002G426100	aldehyde dehydrogenase, putative, expressed	PF00171	PTHR11699,PTHR11699:SF25			AT3G66658.2	ALDH22A1	LOC_Os07g48920.1	NA
Sobic.002G426201	hypothetical protein							LOC_Os05g16840.1	NA
Sobic.002G426300	actin, putative, expressed	PF00022	PTHR11937,PTHR11937:SF37		K17260	AT3G27000.1	ARP2,ATARP2,WRM	LOC_Os08g28190.1	NA
Sobic.002G426400	OsLonP3 - Putative Lon protease homologue, expressed	PF00004,PF02190,PF05362	PTHR10046,PTHR10046:SF44		K08675	AT5G26860.1	LON1,LON_ARA_ARA	LOC_Os07g48960.1	NA
Sobic.002G426501									NA
Sobic.002G426600	expressed protein	PF07893	PTHR33085,PTHR33085:SF3					LOC_Os07g49050.1	NA
Sobic.002G426650	lipase family protein, expressed		PTHR21493,PTHR21493:SF129					LOC_Os03g50410.1	NA
Sobic.002G426700	expressed protein	PF04667	PTHR34804,PTHR34804:SF1			AT4G16146.1		LOC_Os03g19220.2	NA
Sobic.002G426800	zinc finger, C3HC4 type domain containing protein, expressed	PF00097	PTHR23328	KOG0823		AT3G27330.1		LOC_Os12g16690.1	NA
Sobic.002G426900	DNAJ heat shock N-terminal domain-containing protein, putative, expressed	PF13414	PTHR22904,PTHR22904:SF7			AT4G02100.1		LOC_Os07g49000.1	NA
Sobic.002G427000									NA
Sobic.002G427050									NA
Sobic.002G427100	TOPBP1B - Similar to DNA replication protein TOPBP1 from, expressed	PF00628,PF12738,PF00533	PTHR13561,PTHR13561:SF5		K10728	AT4G02110.1		LOC_Os07g49010.1	NA
Sobic.002G427201									NA
Sobic.002G427300	protein phosphotase protein, putative, expressed	PF00481	PTHR13832,PTHR13832:SF284	KOG0698		AT1G09160.2		LOC_Os07g49040.1	NA
Sobic.002G427400	COBRA-like protein 7 precursor, putative, expressed	PF04833	PTHR31052,PTHR31052:SF6			AT4G16120.1	ATSEB1,COBL7,SEB1	LOC_Os03g18910.1	NA
Sobic.002G427500	pectinesterase, putative, expressed	PF04043,PF01095	PTHR31707,PTHR31707:SF58		K01051	AT3G05610.1		LOC_Os07g49100.1	NA
Sobic.002G427550									NA
Sobic.002G427600	hypothetical protein	PF00112						LOC_Os03g18390.1	NA
Sobic.002G427700	expressed protein	PF12274	PTHR34710,PTHR34710:SF3					LOC_Os03g61840.1	NA
Sobic.002G427800	D-alanine--D-alanine ligase family, putative, expressed	PF07478,PF01820	PTHR23132,PTHR23132:SF0			AT3G08840.2		LOC_Os07g49110.1	NA
Sobic.002G427900	wound-induced protein WI12, putative, expressed	PF12680	PTHR33703			AT5G01740.1		LOC_Os05g27580.1	NA
Sobic.002G428000	expressed protein		PTHR12902			AT2G38440.1	ATSCAR2,DIS3,ITB1,SCAR2,WAVE4	LOC_Os03g18710.1	NA
Sobic.002G428100	tim44-like domain containing protein, expressed	PF04280	PTHR10721	KOG2580	K17804	AT2G36070.1	ATTIM44-2,TIM44-2	LOC_Os07g22700.2	NA
Sobic.002G428200	26S protease regulatory subunit 4, putative, expressed	PF07724	PTHR23073		K03062	AT4G29040.1	RPT2a	LOC_Os07g49150.1	NA
Sobic.002G428301	CAMK_KIN1/SNF1/Nim1_like.30 - CAMK includes calcium/calmodulin depedent protein kinases, expressed	PF03822	PTHR24347,PTHR24347:SF205			AT5G45810.1	CIPK19,SnRK3.5	LOC_Os07g48090.1	NA
Sobic.002G428400	membrane associated DUF588 domain containing protein, putative, expressed	PF04535	PTHR11615,PTHR11615:SF142			AT2G38480.1		LOC_Os07g49200.1	NA
Sobic.002G428501									NA
Sobic.002G428600	helicase conserved C-terminal domain containing protein, expressed	PF05050,PF08241	PTHR10108,PTHR10108:SF885			AT5G01710.1		LOC_Os07g49210.1	NA
Sobic.002G428700	helicase conserved C-terminal domain containing protein, expressed	PF00271,PF00176	PTHR10799,PTHR10799:SF660	KOG0390	K10875	AT3G42670.1	CHR38,CLSY	LOC_Os07g49210.1	NA
Sobic.002G428800	ubiquitin-activating enzyme, putative, expressed	PF09358,PF16191,PF16190,PF10585,PF00899	PTHR10953,PTHR10953:SF164		K03178	AT5G06460.1	ATUBA2,UBA 2	LOC_Os07g49230.1	NA
Sobic.002G428900	MRH1, putative, expressed	PF07714	PTHR27001,PTHR27001:SF17			AT2G40270.1		LOC_Os07g49240.1	NA
Sobic.002G429000	thiamine pyrophosphate enzyme, C-terminal TPP binding domain containing protein, expressed	PF02775,PF02776	PTHR18968,PTHR18968:SF139		K01568	AT5G01320.1		LOC_Os07g49250.1	NA
Sobic.002G429100	expressed protein	PF07893	PTHR33085,PTHR33085:SF11					LOC_Os03g43340.1	NA
Sobic.002G429200	expressed protein	PF07893	PTHR33085,PTHR33085:SF11					LOC_Os03g43340.1	NA
Sobic.002G429300	importin subunit beta, putative, expressed	PF03810	PTHR10997,PTHR10997:SF7			AT3G08960.1		LOC_Os07g49260.1	NA
Sobic.002G429400	PPR repeat containing protein, expressed	PF01535,PF13041	PTHR24015,PTHR24015:SF789			AT1G09900.1		LOC_Os02g21580.1	NA
Sobic.002G429700	AMP deaminase, putative, expressed	PF00962	PTHR11359,PTHR11359:SF8		K01490	AT2G38280.2	ATAMPD,FAC1	LOC_Os07g49270.1	NA
Sobic.002G429800	expressed protein	PF14416,PF13839	PTHR32285,PTHR32285:SF41			AT3G55990.1	ESK1,TBL29	LOC_Os03g18140.1	NA
Sobic.002G429900	PHD finger family protein, putative, expressed	PF00628,PF16135	PTHR24098,PTHR24098:SF4			AT5G58610.1		LOC_Os07g49290.1	NA
Sobic.002G430000	expressed protein		PTHR10241,PTHR10241:SF25	KOG1983	K08518	AT5G05570.2		LOC_Os07g49300.1	NA
Sobic.002G430100	omega-3 fatty acid desaturase, chloroplast precursor, putative, expressed	PF11960,PF00487	PTHR32100,PTHR32100:SF15		K10257	AT5G05580.1	FAD8	LOC_Os07g49310.1	NA
Sobic.002G430200	PSF2 - Putative GINS complex subunit, expressed	PF05916	PTHR12772	KOG4071	K10733	AT3G12530.1	PSF2	LOC_Os01g14610.1	NA
Sobic.002G430300	HEAT repeat family protein, putative, expressed	PF11935,PF12295	PTHR15245,PTHR15245:SF25	KOG1895	K06100	AT5G01400.1	ESP4	LOC_Os07g49320.1	NA
Sobic.002G430400									NA
Sobic.002G430500	phospholipase C, putative, expressed	PF09279,PF00168,PF00387,PF00388	PTHR10336,PTHR10336:SF95		K05857	AT3G08510.2	ATPLC2,PLC2	LOC_Os07g49330.1	NA
Sobic.002G430601			PTHR31973,PTHR31973:SF27						NA
Sobic.002G430700	glycosyltransferase family 43 protein, putative, expressed	PF03360	PTHR10896,PTHR10896:SF26			AT2G37090.1	IRX9	LOC_Os07g49370.1	NA
Sobic.002G430800	ribosomal protein, putative, expressed	PF03719	PTHR13718,PTHR13718:SF69	KOG0877	K02981	AT1G59359.1		LOC_Os07g10660.1	NA
Sobic.002G430900	PWWP domain containing protein, expressed	PF00855	PTHR22981,PTHR22981:SF68			AT5G40340.1		LOC_Os07g49380.2	NA
Sobic.002G431000	transporter, putative, expressed	PF08449	PTHR11132,PTHR11132:SF104	KOG1441		AT3G11320.1		LOC_Os03g17740.1	NA
Sobic.002G431100	OsAPx2 - Cytosolic Ascorbate Peroxidase encoding gene 4,5,6,8, expressed	PF00141	PTHR31356,PTHR31356:SF10		K00434	AT1G07890.7	APX1,ATAPX01,ATAPX1,CS1,MEE6	LOC_Os07g49400.2	NA
Sobic.002G431200									NA
Sobic.002G431300	uncharacterized ACR, YagE family COG1723 containing protein, expressed	PF02582	PTHR16255,PTHR16255:SF6	KOG2861		AT5G13610.1		LOC_Os07g49410.1	NA
Sobic.002G431333	retrotransposon protein, putative, unclassified, expressed	PF00098	PTHR23002,PTHR23002:SF63					LOC_Os04g45890.1	NA
Sobic.002G431366									NA
Sobic.002G431400									NA
Sobic.002G431500									NA
Sobic.002G431600	protein kinase APK1B, chloroplast precursor, putative, expressed	PF07714	PTHR27001,PTHR27001:SF211	KOG1187		AT5G02800.1		LOC_Os07g49470.1	NA
Sobic.002G431700	PCNA - Putative DNA replicative polymerase clamp, expressed	PF02747,PF00705	PTHR11352,PTHR11352:SF4	KOG1636	K04802	AT1G07370.1	ATPCNA1,PCNA1	LOC_Os02g56130.1	NA
Sobic.003G000100	STIGL1 - Stigma-specific Stig1 family protein precursor, expressed	PF04885	PTHR33227,PTHR33227:SF1			AT1G11925.1		LOC_Os01g14540.1	NA
Sobic.003G000150									NA
Sobic.003G000200	AWPM-19-like membrane family protein, putative, expressed	PF05512	PTHR33294,PTHR33294:SF2			AT1G29520.1		LOC_Os01g14530.1	NA
Sobic.003G000400	C4-dicarboxylate transporter/malic acid transport protein domain containing protein, expressed	PF03595	PTHR31269,PTHR31269:SF4			AT1G62280.1	SLAH1	LOC_Os01g14520.1	NA
Sobic.003G000500	BRASSINOSTEROID INSENSITIVE 1 precursor, putative, expressed	PF00069	PTHR27000,PTHR27000:SF101	KOG1187		AT1G78530.1		LOC_Os01g14510.1	NA
Sobic.003G000600	WRKY1, expressed	PF03106	PTHR31429:SF16,PTHR31429			AT1G62300.1	ATWRKY6,WRKY6	LOC_Os01g14440.1	NA
Sobic.003G000700	DNA binding protein, putative, expressed	PF03479	PTHR31100,PTHR31100:SF11			AT2G42940.1		LOC_Os01g14430.1	NA
Sobic.003G000800	RWP-RK domain-containing protein, putative, expressed	PF02042	PTHR32002,PTHR32002:SF14			AT1G74480.1		LOC_Os01g14420.1	NA
Sobic.003G000900	X8 domain containing protein, expressed	PF07983	PTHR31044,PTHR31044:SF19			AT2G43670.1		LOC_Os01g14140.1	NA
Sobic.003G001000									NA
Sobic.003G001100	Lg106, putative, expressed	PF04667	PTHR10358,PTHR10358:SF10			AT5G64130.1		LOC_Os01g14690.4	NA
Sobic.003G001200	expressed protein	PF07047	PTHR12499,PTHR12499:SF3	KOG3335		AT1G28510.1		LOC_Os01g14020.1	NA
Sobic.003G001300	ZOS1-05 - C2H2 zinc finger protein, expressed		PTHR10593,PTHR10593:SF20			AT5G44160.1	NUC	LOC_Os01g14010.1	NA
Sobic.003G001400	expressed protein		PTHR37212,PTHR37212:SF1			AT2G28130.1		LOC_Os01g13940.1	NA
Sobic.003G001500	expressed protein		PTHR33785,PTHR33785:SF1			AT2G42760.1		LOC_Os01g13930.1	NA
Sobic.003G001550									NA
Sobic.003G001600									NA
Sobic.003G001650	histone-lysine N-methyltransferase ATX5, putative, expressed							LOC_Os01g11960.1	NA
Sobic.003G001701	No apical meristem protein, putative, expressed	PF02365	PTHR31719,PTHR31719:SF12			AT1G61110.1	anac025,NAC025	LOC_Os03g21060.1	NA
Sobic.003G001751									NA
Sobic.003G001800	expressed protein	PF07762	PTHR33086,PTHR33086:SF14					LOC_Os01g13870.1	NA
Sobic.003G001901	expressed protein	PF07762	PTHR33086:SF14,PTHR33086					LOC_Os01g13870.1	NA
Sobic.003G002000	expressed protein	PF07762	PTHR33086,PTHR33086:SF8					LOC_Os01g14180.1	NA
Sobic.003G002100	receptor-like protein kinase 5 precursor, putative, expressed	PF00069,PF13855,PF08263	PTHR27000:SF219,PTHR27000	KOG1187		AT1G28440.1	HSL1	LOC_Os01g13800.1	NA
Sobic.003G002300	DUF250 domain containing protein, putative, expressed	PF03151	PTHR11132,PTHR11132:SF102	KOG1441	K15283	AT5G46110.4	APE2,TPT	LOC_Os01g13770.1	NA
Sobic.003G002400	dnaJ domain containing protein, expressed	PF00226,PF01556	PTHR24078,PTHR24078:SF188	KOG0714	K09510	AT2G20560.1		LOC_Os01g13760.1	NA
Sobic.003G002501									NA
Sobic.003G002600	myb-like DNA-binding domain containing protein, expressed	PF00249	PTHR31312,PTHR31312:SF1			AT2G20570.1	ATGLK1,GLK1,GPRI1	LOC_Os01g13740.1	NA
Sobic.003G002700	WD domain, G-beta repeat domain containing protein, expressed	PF00400,PF04158	PTHR22851,PTHR22851:SF0		K11806	AT4G28450.1		LOC_Os01g13730.1	NA
Sobic.003G002800	expressed protein		PTHR33156,PTHR33156:SF3			AT2G20585.1	NFD6	LOC_Os01g13720.1	NA
Sobic.003G002900	transposon protein, putative, unclassified, expressed	PF03169	PTHR31645,PTHR31645:SF15			AT1G65730.1	YSL7	LOC_Os01g13710.1	NA
Sobic.003G003000	DNA-binding protein-related, putative, expressed		PTHR31472	KOG3416	K07466	AT2G33845.1		LOC_Os01g13700.1	NA
Sobic.003G003101									NA
Sobic.003G003200	ligA, putative, expressed	PF01063	PTHR11825,PTHR11825:SF48	KOG0975	K18482	AT5G57850.1		LOC_Os01g13690.2	NA
Sobic.003G003300	expressed protein		PTHR33120,PTHR33120:SF4					LOC_Os01g13660.1	NA
Sobic.003G003450	beta-amylase, putative, expressed	PF00300,PF01373	PTHR31352,PTHR31352:SF7	KOG0235	K01177	AT4G17090.1	BAM3,BMY8,CT-BMY	LOC_Os01g13550.1	NA
Sobic.003G003600	NIN, putative, expressed	PF00564,PF02042	PTHR32002,PTHR32002:SF4			AT4G24020.1	NLP7	LOC_Os01g13540.1	NA
Sobic.003G003700	ABIL2, putative, expressed		PTHR10460,PTHR10460:SF10			AT3G49290.1	ABIL2	LOC_Os01g13530.1	NA
Sobic.003G003800	auxin response factor 1, putative, expressed	PF02362,PF06507	PTHR31384,PTHR31384:SF1			AT2G46530.3	ARF11	LOC_Os01g13520.1	NA
Sobic.003G003900									NA
Sobic.003G004000									NA
Sobic.003G004100	expressed protein					AT4G27840.1		LOC_Os01g13490.1	NA
Sobic.003G004200	glutaredoxin, putative, expressed		PTHR10168,PTHR10168:SF61			AT1G64500.1		LOC_Os01g13480.1	NA
Sobic.003G004300	KH domain containing protein, putative, expressed	PF00013	PTHR10288,PTHR10288:SF148	KOG2190	K13162	AT5G15270.2		LOC_Os01g13470.1	NA
Sobic.003G004500	helix-loop-helix DNA-binding domain containing protein, expressed	PF00010,PF14215	PTHR11514,PTHR11514:SF47			AT2G46510.1	AIB,ATAIB	LOC_Os01g13460.1	NA
Sobic.003G004600	expressed protein		PTHR35705,PTHR35705:SF1			AT5G11390.1	WIT1	LOC_Os05g15140.1	NA
Sobic.003G004700	SOUL heme-binding protein, putative, expressed	PF04832	PTHR11220			AT1G17100.1		LOC_Os01g13420.1	NA
Sobic.003G004800	ATP binding protein, putative, expressed		PTHR33566			AT3G49250.1	DMS3,IDN1	LOC_Os01g13404.1	NA
Sobic.003G004900	AMP-binding domain containing protein, expressed	PF13193,PF00501	PTHR24096,PTHR24096:SF116	KOG1176	K01904	AT1G62940.1	ACOS5	LOC_Os04g24530.1	NA
Sobic.003G005000	expressed protein		PTHR12446			AT5G42070.1		LOC_Os01g13390.1	NA
Sobic.003G005100	seven in absentia protein family domain containing protein, expressed	PF03145	PTHR10315,PTHR10315:SF39	KOG3002	K04506	AT3G61790.1		LOC_Os01g13370.1	NA
Sobic.003G005200	25.3 kDa vesicle transport protein, putative, expressed	PF00957,PF13774	PTHR21136,PTHR21136:SF89	KOG0862	K08517	AT1G11890.1	ATSEC22,SEC22	LOC_Os06g09850.1	NA
Sobic.003G005266	proline-rich family protein, putative, expressed		PTHR31234,PTHR31234:SF3			AT4G23930.1		LOC_Os05g14880.1	NA
Sobic.003G005332									NA
Sobic.003G005400	pectinesterase, putative, expressed	PF04043,PF01095	PTHR31707,PTHR31707:SF56			AT5G53370.1	ATPMEPCRF,PMEPCRF	LOC_Os01g13320.1	NA
Sobic.003G005500	B3 DNA binding domain containing protein, expressed	PF02362	PTHR31391,PTHR31391:SF13			AT3G19184.1		LOC_Os01g13300.1	NA
Sobic.003G005600	ubiquitin conjugating enzyme protein, putative, expressed	PF00179	PTHR24067,PTHR24067:SF151	KOG0417	K10581	AT3G15355.1	PFU1,UBC25	LOC_Os01g13280.1	NA
Sobic.003G005700	AGC_PVPK_like_kin82y.4 - ACG kinases include homologs to PKA, PKG and PKC, expressed	PF07714,PF00069	PTHR24351,PTHR24351:SF94			AT1G79250.1	AGC1.7	LOC_Os01g13270.2	NA
Sobic.003G005800	salt stress root protein RS1, putative, expressed	PF05558	PTHR38522,PTHR38522:SF1			AT4G20260.3	ATPCAP1,PCAP1	LOC_Os01g13210.1	NA
Sobic.003G005900	abscisic acid insensitive 8, putative, expressed	PF01697	PTHR10774,PTHR10774:SF70			AT3G08550.1	ABI8,ELD1,KOB1	LOC_Os01g13200.1	NA
Sobic.003G006000	expressed protein		PTHR34397,PTHR34397:SF4			AT1G25560.1	EDF1,TEM1	LOC_Os01g13180.1	NA
Sobic.003G006100	Leucine Rich Repeat family protein, expressed		PTHR23155,PTHR23155:SF612			AT3G50950.2	ZAR1	LOC_Os11g43250.1	NA
Sobic.003G006200	ubiquitin-conjugating enzyme E2, putative, expressed	PF00179	PTHR24067,PTHR24067:SF130	KOG0417	K10581	AT1G53025.1		LOC_Os01g13170.1	NA
Sobic.003G006300	expressed protein	PF01417	PTHR21514,PTHR21514:SF1			AT3G16270.1		LOC_Os01g13160.1	NA
Sobic.003G006400	metallo-beta-lactamase family protein, putative, expressed	PF13691,PF12706	PTHR12553,PTHR12553:SF49		K00784	AT3G16260.1	TRZ4	LOC_Os01g13150.1	NA
Sobic.003G006500	WD domain, G-beta repeat domain containing protein, expressed	PF00400	PTHR22844,PTHR22844:SF211	KOG0295		AT2G26490.1		LOC_Os01g13140.1	NA
Sobic.003G006600	aquaporin protein, putative, expressed	PF00230	PTHR19139,PTHR19139:SF165	KOG0223	K09873	AT2G25810.1	TIP4;1	LOC_Os01g13130.1	NA
Sobic.003G006800	retrotransposon protein, putative, Ty3-gypsy subclass, expressed	PF04195	PTHR33026,PTHR33026:SF2					LOC_Os07g45660.1	NA
Sobic.003G006833	KH domain containing protein, putative, expressed	PF00013,PF10469	PTHR13360,PTHR13360:SF1	KOG2814		AT3G16230.3		LOC_Os01g13100.1	NA
Sobic.003G006866	retrotransposon protein, putative, unclassified		PTHR25952,PTHR25952:SF206					LOC_Os07g48590.1	NA
Sobic.003G006900	microtubule associated protein, putative, expressed					AT5G55230.2	ATMAP65-1,MAP65-1	LOC_Os06g40840.1	NA
Sobic.003G007000	transposon protein, putative, unclassified, expressed	PF03101,PF10551	PTHR31669,PTHR31669:SF52			AT4G38180.1	FRS5	LOC_Os06g42420.1	NA
Sobic.003G007100	ubiquitin-conjugating enzyme, putative, expressed					AT3G46460.1	UBC13	LOC_Os05g38550.1	NA
Sobic.003G007200	aquaporin protein, putative, expressed	PF00230	PTHR19139,PTHR19139:SF165	KOG0223	K09873	AT2G25810.1	TIP4;1	LOC_Os01g13120.1	NA
Sobic.003G007300	KH domain containing protein, putative, expressed	PF00013,PF10469	PTHR13360,PTHR13360:SF1	KOG2814	K18666	AT3G16230.2		LOC_Os01g13100.1	NA
Sobic.003G007400	expressed protein	PF08458,PF05703	PTHR31351,PTHR31351:SF7			AT5G43870.1		LOC_Os01g13070.1	NA
Sobic.003G007500	CK1_CaseinKinase_1.1 - CK1 includes the casein kinase 1 kinases, expressed	PF00069	PTHR11909,PTHR11909:SF97	KOG1163		AT4G28880.1	ckl3	LOC_Os01g13060.2	NA
Sobic.003G007600	expressed protein		PTHR33388,PTHR33388:SF4			AT2G20080.1		LOC_Os01g13040.1	NA
Sobic.003G007650	protein transport protein Sec61 subunit alpha, putative, expressed	PF00344	PTHR10906,PTHR10906:SF1	KOG1373		AT2G34250.2		LOC_Os03g11440.1	NA
Sobic.003G007700	ethylene-responsive protein related, putative, expressed		PTHR16223,PTHR16223:SF24			AT4G29100.1		LOC_Os05g14010.1	NA
Sobic.003G007800	phosphorylase domain containing protein, putative, expressed	PF01048	PTHR21234,PTHR21234:SF32			AT4G28940.1		LOC_Os01g12940.1	NA
Sobic.003G007900	phosphorylase domain containing protein, putative, expressed	PF01048	PTHR21234,PTHR21234:SF32			AT4G28940.1		LOC_Os01g12940.1	NA
Sobic.003G008000	cyclin-T1-1, putative, expressed							LOC_Os02g04010.2	NA
Sobic.003G008100	U-box domain containing protein, expressed	PF00400,PF04564	PTHR22844,PTHR22844:SF205	KOG0279		AT3G06880.2		LOC_Os01g12930.1	NA
Sobic.003G008200	thioesterase family protein, putative, expressed	PF03061	PTHR21660	KOG3328		AT3G16175.1		LOC_Os01g12920.1	NA
Sobic.003G008300	thioesterase family protein, putative, expressed	PF03061	PTHR21660	KOG3328	K17362	AT3G16175.1		LOC_Os01g12910.1	NA
Sobic.003G008400	acetyltransferase, GNAT family protein, expressed		PTHR24098,PTHR24098:SF15			AT1G05380.2		LOC_Os01g73480.1	NA
Sobic.003G008500	VHS and GAT domain containing protein, expressed	PF03127,PF00790	PTHR13856,PTHR13856:SF98	KOG1087		AT4G32760.2		LOC_Os01g12880.1	NA
Sobic.003G008600	eukaryotic translation initiation factor 3 subunit E-interacting protein, putative, expressed	PF10255	PTHR13242	KOG3677	K15029	AT5G25757.1		LOC_Os01g12870.1	NA
Sobic.003G008700	MYB family transcription factor, putative, expressed	PF13921,PF00249	PTHR10641,PTHR10641:SF599	KOG0048		AT4G32730.2	ATMYB3R-1,ATMYB3R1,MYB3R-1,MYB3R1,PC-MYB1	LOC_Os01g12860.1	NA
Sobic.003G008800	expressed protein	PF14383	PTHR34282,PTHR34282:SF2			AT5G42710.1		LOC_Os01g12840.1	NA
Sobic.003G008850	hydrolase, alpha/beta fold family domain containing protein, expressed					AT2G14260.2	PIP	LOC_Os05g43830.2	NA
Sobic.003G008900	erythronate-4-phosphate dehydrogenase domain containing protein, expressed	PF03446,PF00389	PTHR10996,PTHR10996:SF139	KOG0069	K15919	AT1G79870.1		LOC_Os01g12830.1	NA
Sobic.003G009000	harpin-induced protein, putative, expressed	PF03168	PTHR31852,PTHR31852:SF45			AT1G45688.1		LOC_Os01g12820.1	NA
Sobic.003G009100	peroxisomal membrane protein, putative, expressed	PF04117	PTHR11266,PTHR11266:SF35	KOG1944	K13348	AT3G24570.1		LOC_Os01g12800.1	NA
Sobic.003G009200	expressed protein		PTHR19328,PTHR19328:SF35			AT5G62630.1	HIPL2	LOC_Os03g48540.1	NA
Sobic.003G009300	methyltransferase domain containing protein, putative, expressed	PF08241	PTHR10108,PTHR10108:SF24	KOG1540	K06127	AT5G57300.2		LOC_Os01g74520.1	NA
Sobic.003G009400		PF07065	PTHR15323,PTHR15323:SF6			AT4G05440.1	EDA35		NA
Sobic.003G009501									NA
Sobic.003G009600	POEI21 - Pollen Ole e I allergen and extensin family protein precursor, expressed	PF01190	PTHR31614,PTHR31614:SF12			AT1G29140.1		LOC_Os06g36240.1	NA
Sobic.003G009650									NA
Sobic.003G009700	cytochrome P450, putative, expressed	PF00067	PTHR24298,PTHR24298:SF127	KOG0156		AT3G48310.1	CYP71A22	LOC_Os01g12760.1	NA
Sobic.003G009800	expressed protein	PF07762	PTHR33086,PTHR33086:SF8					LOC_Os01g14170.1	NA
Sobic.003G009900	cytochrome P450, putative, expressed	PF00067	PTHR24298,PTHR24298:SF134	KOG0156		AT3G48280.1	CYP71A25	LOC_Os01g12740.1	NA
Sobic.003G010000	cytochrome P450, putative, expressed	PF00067	PTHR24298,PTHR24298:SF134	KOG0156		AT3G48280.1	CYP71A25	LOC_Os01g12750.1	NA
Sobic.003G010033									NA
Sobic.003G010066	retrotransposon protein, putative, unclassified, expressed	PF13966	PTHR25952,PTHR25952:SF206			AT3G25720.1		LOC_Os06g46610.1	NA
Sobic.003G010100	cytochrome P450, putative, expressed	PF00067	PTHR24298,PTHR24298:SF134	KOG0156		AT3G48280.1	CYP71A25	LOC_Os01g12740.1	NA
Sobic.003G010200	cytochrome P450, putative, expressed	PF00067	PTHR24298,PTHR24298:SF134	KOG0156		AT3G48280.1	CYP71A25	LOC_Os01g12740.1	NA
Sobic.003G010300	cytochrome P450, putative, expressed	PF00067	PTHR24298,PTHR24298:SF134	KOG0156		AT3G48280.1	CYP71A25	LOC_Os01g12740.1	NA
Sobic.003G010400	ras-related protein, putative, expressed	PF00025	PTHR24073,PTHR24073:SF502	KOG0394	K07897	AT1G52280.1	AtRABG3d,RABG3d	LOC_Os01g12730.1	NA
Sobic.003G010500	protein kinase domain containing protein, expressed	PF07714	PTHR27001,PTHR27001:SF199	KOG1187		AT3G24550.1	ATPERK1,PERK1	LOC_Os01g12720.1	NA
Sobic.003G010600	oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed	PF13561	PTHR24314,PTHR24314:SF10	KOG0725	K13606	AT4G13250.1	NYC1	LOC_Os01g12710.1	NA
Sobic.003G010650									NA
Sobic.003G010700	plant-specific domain TIGR01568 family protein, expressed	PF04844	PTHR33057,PTHR33057:SF25			AT5G19650.1	ATOFP8,OFP8	LOC_Os01g12690.1	NA
